#PartyRecordId	ISNI	IpiNameNumber	CisacSocietyId	DPID	FullName	NamesBeforeKeyName	KeyName	NamesAfterKeyName	ContactName	EmailAddress	PhoneNumber	PostalAddress	ContactInformationMayNotBeValid
700000001			mock-society	mock-dpid-1	MOCK WRITER N2711E	MOCK WRITER	N2711E				writer-n2711e@example.test			true
700000002			mock-society	mock-dpid-2	MOCK PUBLISHER N2711E	MOCK PUBLISHER	N2711E				publisher-n2711e@example.test			true
700000003			mock-society	mock-dpid-3	MOCK WRITER N2711F	MOCK WRITER	N2711F				writer-n2711f@example.test			true
700000004			mock-society	mock-dpid-4	MOCK PUBLISHER N2711F	MOCK PUBLISHER	N2711F				publisher-n2711f@example.test			true
700000005			mock-society	mock-dpid-5	MOCK WRITER N2711G	MOCK WRITER	N2711G				writer-n2711g@example.test			true
700000006			mock-society	mock-dpid-6	MOCK PUBLISHER N2711G	MOCK PUBLISHER	N2711G				publisher-n2711g@example.test			true
700000007			mock-society	mock-dpid-7	MOCK WRITER N2711H	MOCK WRITER	N2711H				writer-n2711h@example.test			true
700000008			mock-society	mock-dpid-8	MOCK PUBLISHER N2711H	MOCK PUBLISHER	N2711H				publisher-n2711h@example.test			true
700000009			mock-society	mock-dpid-9	MOCK WRITER N2711I	MOCK WRITER	N2711I				writer-n2711i@example.test			true
700000010			mock-society	mock-dpid-10	MOCK PUBLISHER N2711I	MOCK PUBLISHER	N2711I				publisher-n2711i@example.test			true
700000011			mock-society	mock-dpid-11	MOCK WRITER N2711J	MOCK WRITER	N2711J				writer-n2711j@example.test			true
700000012			mock-society	mock-dpid-12	MOCK PUBLISHER N2711J	MOCK PUBLISHER	N2711J				publisher-n2711j@example.test			true
700000013			mock-society	mock-dpid-13	MOCK WRITER N2711K	MOCK WRITER	N2711K				writer-n2711k@example.test			true
700000014			mock-society	mock-dpid-14	MOCK PUBLISHER N2711K	MOCK PUBLISHER	N2711K				publisher-n2711k@example.test			true
700000015			mock-society	mock-dpid-15	MOCK WRITER N2711L	MOCK WRITER	N2711L				writer-n2711l@example.test			true
700000016			mock-society	mock-dpid-16	MOCK PUBLISHER N2711L	MOCK PUBLISHER	N2711L				publisher-n2711l@example.test			true
